cve_id,cve_description,cwe_id,cwe_description
CVE-2014-1266,"chain: incorrect goto in Apple SSL product bypasses certificate validation, allowing Adversry-in-the-Middle (AITM) attack (Apple goto fail bug). CWE-705 (Incorrect Control Flow Scoping) -> CWE-561 (Dead Code) -> CWE-295 (Improper Certificate Validation) -> CWE-393 (Return of Wrong Status Code) -> CWE-300 (Channel Accessible by Non-Endpoint).",CWE-300,Channel Accessible by Non-Endpoint
CVE-2010-1208,"object is deleted even with a non-zero reference count, and later accessed",CWE-416,Use After Free
CVE-2008-0141,Application generates passwords that are based on the time of day.,CWE-330,Use of Insufficiently Random Values
CVE-2009-0244,"FTP service for a Bluetooth device allows listing of directories, and creation or reading of files using .. sequences.",CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2001-1555,Terminal privileges are not reset when a user logs out.,CWE-269,Improper Privilege Management
CVE-2009-2699,deadlock in library,CWE-667,Improper Locking
CVE-2009-0269,"chain: -1 value from a function call was intended to indicate an error, but is used as an array index instead.",CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2006-7140,"Crypto implementation removes padding when it shouldn't, allowing forged signatures",CWE-573,Improper Following of Specification by Caller
CVE-2002-1451,Trailing space (+ in query string) leads to source code disclosure.,CWE-46,Path Equivalence: 'filename ' (Trailing Space)
CVE-2006-5051,"Chain: Signal handler contains too much functionality (CWE-828), introducing a race condition (CWE-362) that leads to a double free (CWE-415).",CWE-828,Signal Handler with Functionality that is not Asynchronous-Safe
CVE-2005-0891,Double free from malformed GIF.,CWE-415,Double Free
CVE-2019-1010006,"Chain: compiler optimization (CWE-733) removes or modifies code used to detect integer overflow (CWE-190), allowing out-of-bounds write (CWE-787).",CWE-190,Integer Overflow or Wraparound
CVE-2006-4068,"Hard-coded hashed values for username and password contained in client-side script, allowing brute-force offline attacks.",CWE-328,Use of Weak Hash
CVE-2022-29952,Condition Monitor uses a protocol that does not require authentication.,CWE-287,Improper Authentication
CVE-2001-0033,"Specify alternate configuration directory in environment variable, enabling untrusted path.",CWE-454,External Initialization of Trusted Variables or Data Stores
CVE-2020-14254,"product does not disable TLS-RSA cipher suites, allowing decryption of traffic if TLS 2.0 and secure ciphers are not enabled.",CWE-1240,Use of a Cryptographic Primitive with a Risky Implementation
CVE-2003-0501,Special file system allows attackers to prevent ownership/permission change of certain entries by opening the entries before calling a setuid program.,CWE-280,Improper Handling of Insufficient Permissions or Privileges 
CVE-2019-0039,"the REST API for a network OS has a high limit for number of connections, allowing brute force password guessing",CWE-307,Improper Restriction of Excessive Authentication Attempts
CVE-2004-0956,Crash via missing paired delimiter (open double-quote but no closing double-quote).,CWE-157,Failure to Sanitize Paired Delimiters
CVE-1999-0113,"Canonical Example - -froot argument is passed on to another program, where the -f causes execution as user root",CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CVE-2020-4053,a Kubernetes package manager written in Go allows malicious plugins to inject path traversal sequences into a plugin archive (Zip slip) to copy a file outside the intended directory,CWE-23,Relative Path Traversal
CVE-2009-0935,"Attacker provides invalid address to a memory-reading function, causing a mutex to be unlocked twice",CWE-667,Improper Locking
CVE-2006-4339,"Crypto implementation removes padding when it shouldn't, allowing forged signatures",CWE-573,Improper Following of Specification by Caller
CVE-2006-5397,"Module opens a file for reading twice, allowing attackers to read files.",CWE-403,Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak')
CVE-2010-1637,Web-based mail program allows internal network scanning using a modified POP3 port number.,CWE-918,Server-Side Request Forgery (SSRF)
CVE-2022-23607,Python-based HTTP library did not scope cookies to a particular domain such that supercookies could be sent to any domain on redirect,CWE-284,Improper Access Control
CVE-2008-2223,SQL injection through an ID that was supposed to be numeric.,CWE-1287,Improper Validation of Specified Type of Input
CVE-2009-0269,"chain: -1 value from a function call was intended to indicate an error, but is used as an array index instead.",CWE-787,Out-of-bounds Write
CVE-2000-0959,"Does not clear dangerous environment variables, enabling symlink attack.",CWE-454,External Initialization of Trusted Variables or Data Stores
CVE-2000-0655,Chat client allows remote attackers to cause a denial of service or execute arbitrary commands via a JPEG image containing a comment with an illegal field length of 1.,CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2009-2403,Heap-based buffer overflow in media player using a long entry in a playlist,CWE-788,Access of Memory Location After End of Buffer
CVE-2008-4822,"Chain: Adobe Flash Player and earlier does not properly interpret policy files, which allows remote attackers to bypass a non-root domain policy.",CWE-942,Permissive Cross-domain Policy with Untrusted Domains
CVE-2005-1820,Code injection due to improper quoting of regular expression.,CWE-185,Incorrect Regular Expression
CVE-2007-0897,Chain: anti-virus product encounters a malformed file but returns from a function without closing a file descriptor (CWE-775) leading to file descriptor consumption (CWE-400) and failed scans.,CWE-772,Missing Release of Resource after Effective Lifetime
CVE-2008-3688,Chain: A denial of service may be caused by an uninitialized variable (CWE-457) allowing an infinite loop (CWE-835) resulting from a connection to an unresponsive server.,CWE-457,Use of Uninitialized Variable
CVE-2020-4574,key server application does not require strong passwords,CWE-521,Weak Password Requirements
CVE-2007-5893,HTTP request with missing protocol version number leads to crash,CWE-1286,Improper Validation of Syntactic Correctness of Input
CVE-2007-6197,Version numbers and internal hostnames leaked in HTML comments.,CWE-540,Inclusion of Sensitive Information in Source Code
CVE-2005-2181,Insufficient verification allows spoofing.,CWE-347,Improper Verification of Cryptographic Signature
CVE-1999-0783,Operating system allows local users to conduct a denial of service by creating a hard link from a device special file to a file on an NFS file system.,CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2006-5051,"Chain: Signal handler contains too much functionality (CWE-828), introducing a race condition (CWE-362) that leads to a double free (CWE-415).",CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2021-0089,"A machine clear triggered by self-modifying code may allow incorrect operations to execute transiently, potentially exposing data over a covert channel.",CWE-1420,Exposure of Sensitive Information during Transient Execution
CVE-2004-0346,Off-by-one buffer overflow in FTP server allows local users to gain privileges via a 1024 byte RETR command.,CWE-193,Off-by-one Error
CVE-2022-30270,Remote Terminal Unit (RTU) uses default credentials for some SSH accounts,CWE-1393,Use of Default Password
CVE-2010-2873,"blind trust of an offset value while writing heap memory allows corruption of function pointer,leading to code execution",CWE-823,Use of Out-of-range Pointer Offset
CVE-2009-2550,Classic stack-based buffer overflow in media player using a long entry in a playlist,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2007-3572,Chain: OS command injection (CWE-78) enabled by using an unexpected character that is not explicitly disallowed (CWE-184),CWE-184,Incomplete List of Disallowed Inputs
CVE-2017-5753,"Intel, ARM, and AMD processor optimizations related to speculative execution and branch prediction cause access control checks to be bypassed when placing data into the cache. Often known as Spectre.",CWE-1037,Processor Optimization Removal or Modification of Security-critical Code
CVE-2018-16069,"Chain: series of floating-point precision errors (CWE-1339) in a web browser rendering engine causes out-of-bounds read (CWE-125), giving access to cross-origin data",CWE-125,Out-of-bounds Read
CVE-2002-1230,Gain privileges via Windows message.,CWE-422,Unprotected Windows Messaging Channel ('Shatter')
CVE-2003-0282,"Directory traversal vulnerability allows attackers to overwrite arbitrary files via invalid characters between two . (dot) characters, which are filtered and result in a .. sequence.",CWE-179,Incorrect Behavior Order: Early Validation
CVE-1999-0073,"Telnet daemon allows remote clients to specify critical environment variables for the server, leading to code execution.",CWE-642,External Control of Critical State Data
CVE-2017-5753,"Microarchitectural conditional branch predictors may allow operations to execute transiently after a misprediction, potentially exposing data over a covert channel.",CWE-1420,Exposure of Sensitive Information during Transient Execution
CVE-2012-5810,"Mobile banking application does not verify hostname, leading to financial loss.",CWE-923,Improper Restriction of Communication Channel to Intended Endpoints
CVE-2006-3015,Argument injection vulnerability in WinSCP 3.8.1 build 328 allows remote attackers to upload or download arbitrary files via encoded spaces and double-quote characters in a scp or sftp URI.,CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CVE-2005-1876,Direct PHP code injection into supporting template file.,CWE-96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')
CVE-2002-1209,Directory traversal vulnerability in FTP server allows remote attackers to read arbitrary files via .. sequences in a GET request.,CWE-23,Relative Path Traversal
CVE-2021-1782,"Chain: improper locking (CWE-667) leads to race condition (CWE-362), as exploited in the wild per CISA KEV.",CWE-667,Improper Locking
